conid,symbol,base_symbol,name,exchange_id,currency,country,isin,cusip,is_prime,instrument_type,ucits,ucits_in_name
871568621,00400A,00400A,CATHAY TAIWAN HIGH DVD MM,TWSE,TWD,TW,TW00000400A3,Y122F7558,true,ETF,false,false
857989390,00401A,00401A,JPMORGAN TW EQ HIGH INC,TWSE,TWD,TW,TW00000401A1,Y446DL826,true,ETF,false,false
873193627,00402A,00402A,ALLIANZ GL INVESTORS US TE,TWSE,TWD,TW,TW00000402A9,Y00421480,true,ETF,false,false
863726764,00403A,00403A,UPAMC TW ELITE 50 ACT,TWSE,TWD,TW,TW00000403A7,Y9144T651,true,ETF,false,false
878694364,00404A,00404A,ABITL TW EQ PRM INC 50 AETF,TWSE,TWD,TW,TW00000404A5,Y003DD500,true,ETF,false,false
884991165,00405A,00405A,FUBON TAIWAN LONGYAO ACTIVE,TWSE,TWD,TW,TW00000405A2,Y2R5DN856,true,ETF,false,false
878694361,00406A,00406A,CTBC TW IC AND GR ACT ETF,TWSE,TWD,TW,TW00000406A0,,true,ETF,false,false
885279052,00407A,00407A,KGI TAIWAN EQUITY ACTIVE ETF,TWSE,TWD,TW,TW00000407A8,,true,ETF,false,false
817201282,0048K0,0048K0,SAMSUNG KODEX CHINA HUMANOID,KRX,KRW,KR,KR70048K0004,Y747KS105,true,ETF,false,false
165197063,0050,0050,YUANTA/P-SHRS TW TOP 50 ETF,TWSE,TWD,TW,TW0000050004,Y6980E103,true,ETF,false,false
637692818,0051,0051,YUANTA/P-SHRS TW MID-CAP 100,TWSE,TWD,TW,TW0000051002,,true,ETF,false,false
637688431,0052,0052,FUBON TAIWAN TECHNOLOGY ETF,TWSE,TWD,TW,TW0000052000,,true,ETF,false,false
637688452,0053,0053,YUANTA/P-SHRS TW EL TECH ETF,TWSE,TWD,TW,TW0000053008,Y697A9105,true,ETF,false,false
637691398,0055,0055,YUANTA/P-SHRS MSCI TW FIN ET,TWSE,TWD,TW,TW0000055003,Y697A8107,true,ETF,false,false
637689191,0056,0056,YUANTA/P-SHRS TW DVD PLUS ET,TWSE,TWD,TW,TW0000056001,Y697AB100,true,ETF,false,false
637691415,0057,0057,FUBON MSCI TAIWAN ETF,TWSE,TWD,TW,TW0000057009,Y26548100,true,ETF,false,false
637692011,0061,0061,W.I.S.E. YUANTA/P SHS C300 E,TWSE,TWD,TW,TW0000061001,Y707AJ100,true,ETF,false,false
637688563,006203,006203,YUANTA/P-SHRS MSCI TW ETF,TWSE,TWD,TW,TW0000062033,Y697AV106,true,ETF,false,false
637688578,006204,006204,SINOPAC TAIWAN TAIEX ETF,TWSE,TWD,TW,TW0000062041,Y8037U106,true,ETF,false,false
637692232,006205,006205,FUBON SSE 180 INDEX ETF,TWSE,TWD,TW,TW0000062058,Y26575103,true,ETF,false,false
637692957,006206,006206,YUANTA/P-SHRS SSE50 ETF,TWSE,TWD,TW,TW0000062066,Y697BC107,true,ETF,false,false
637691498,006207,006207,FUH HWA CSI 300 A SHARES ETF,TWSE,TWD,TW,TW0000062074,Y2658L107,true,ETF,false,false
637690123,006208,006208,FUBON TAIWAN 50 INDEX ETF,TWSE,TWD,TW,TW0000062082,Y2R51E115,true,ETF,false,false
637689431,00625K,00625K,FUBON SSE 180 INDEX ETF-RMB,TWSE,CNY,TW,TW00000625K4,Y2R51E388,true,ETF,false,false
637691558,00631L,00631L,YUANTA/P-SHRS TW T50 2X ETF,TWSE,TWD,TW,TW00000631L0,Y9845W102,true,ETF,false,false
637693011,00632R,00632R,YUANTA/P-SHRS TW T50 1X ETF,TWSE,TWD,TW,TW00000632R5,Y9845V104,true,ETF,false,false
637692286,00633L,00633L,FUBON SSE180 LEV 2X IN ETF,TWSE,TWD,TW,TW00000633L6,Y265C2104,true,ETF,false,false
637690186,00634R,00634R,FUBON SSE180 INV INDEX ETF,TWSE,TWD,TW,TW00000634R1,Y265C1106,true,ETF,false,false
637690843,00635U,00635U,YUANTA S&P GSCI GOLD ER ETF,TWSE,TWD,TW,TW00000635U2,Y9865N214,true,ETF,false,false
637689372,00636,00636,CATHAY FTSE CHINA A50 ETF,TWSE,TWD,TW,TW0000063601,Y12233105,true,ETF,false,false
637693150,00636K,00636K,CATHAY FTSE CHINA A50 ETF K,TWSE,USD,TW,TW00000636K1,,true,ETF,false,false
637688686,00637L,00637L,YUANTA/P-SHRS CSI 300 2X ETF,TWSE,TWD,TW,TW00000637L7,Y9845X100,true,ETF,false,false
