AMC,ETF,NSE_Symbol,INAV
HSBC,HSBC Gold ETF,HSBCGOLD,128.16
Bajaj,Bajaj Finserv Nifty 50 ETF,NIFTYBETF,242.9
Bajaj,Bajaj Finserv Nifty Bank ETF,BANKBETF,57.06
Bajaj,Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,LIQUIDBETF,1091.81
Bajaj,Bajaj Finserv BSE Top 10 Banks ETF,BANK10BETF,20.54
Choice,Choice Gold ETF,CHOICEGOLD,140.5627
TWC,The Wealth Company Gold ETF,TWCGOLDETF,143.47
Motilal,Motilal Oswal Nifty Midcap 100 ETF,MOM100,65.81
Motilal,Motilal Oswal Nifty 50 ETF,MOM50,247.34
Motilal,Motilal Oswal Nifty Alpha 50 ETF,MOALPHA50,52.33
Motilal,Motilal Oswal BSE Top 10 Banks ETF,MOBANK10,16.7
Motilal,Motilal Oswal Nifty Capital Market ETF,MOCAPITAL,52.18
Motilal,Motilal Oswal Nifty India Defence ETF,MODEFENCE,101.85
Motilal,Motilal Oswal Nifty Energy ETF,MOENERGY,38.8
Motilal,Motilal Oswal Nifty 5 YR Benchmark G-Sec ETF,MOGSEC,65.01
Motilal,Motilal Oswal Gold ETF,MOGOLD,142.05
Motilal,Motilal Oswal BSE India Infrastructure ETF,MOINFRA,59.88
Motilal,Motilal Oswal BSE Select IPO ETF,MOIPO,44.61
Motilal,Motilal Oswal Nifty 500 Momentum 50 ETF,MOMENTUM50,51.55
Motilal,Motilal Oswal Nifty India Manufacturing ETF,MOMGF,157.34
Motilal,Motilal Oswal Nifty Midcap 150 Momentum 50 ETF,MOMIDMTM,61.57
Motilal,Motilal Oswal Nifty MNC ETF,MOMNC,30.06
Motilal,Motilal Oswal BSE Low Volatility ETF,MOLOWVOL,36.55
Motilal,Motilal Oswal Nifty 500 ETF,MONIFTY500,23.25
Motilal,Motilal Oswal Nifty 50 Equal Weight ETF,MON50EQUAL,32.75
Motilal,Motilal Oswal Nifty Next 50 ETF,MONEXT50,71.07
Motilal,Motilal Oswal Nifty 200 Momentum 30 ETF,MOMOMENTUM,60.49
Motilal,Motilal Oswal Nifty PSE ETF,MOPSE,100.33
Motilal,Motilal Oswal Nifty Realty ETF,MOREALTY,87.28
Motilal,Motilal Oswal Nifty Services Sector ETF,MOSERVICE,14.43
Motilal,Motilal Oswal Silver ETF,MOSILVER,218.54
Motilal,Motilal Oswal Nifty Smallcap 250 ETF,MOSMALL250,17.49
Motilal,Motilal Oswal BSE Enhanced Value ETF,MOVALUE,111.57
Motilal,Motilal Oswal BSE Healthcare ETF,MOHEALTH,49.72
Motilal,Motilal Oswal BSE Quality ETF,MOQUALITY,198.67
Motilal,Motilal Oswal Nifty India Tourism ETF,MOTOUR,75.98
Motilal,Motilal Oswal Nifty 100 ETF,MONIFTY100,24.84
Motilal,Motilal Oswal Nasdaq 100 ETF,MON100,268.1865657323346
Motilal,Motilal Oswal Nasdaq Q50 ETF,MONQ50,118.3756219893578
Kotak,Kotak Nifty Alpha 50 ETF,ALPHA,50.39234969999998
Kotak,Kotak Nifty Bank ETF,BANKNIFTY1,58.26456
Kotak,Kotak Gold ETF,GOLD1,117.91378684046738
Kotak,Kotak Nifty IT ETF,IT,31.4369898
Kotak,Kotak Liquid ETF,LIQUID1,1115.2139
Kotak,Kotak Nifty MNC ETF,MNC,33.2100982
Kotak,Kotak Nifty Midcap 50 ETF,MIDCAP,17.871238066666667
Kotak,Kotak MSCI India ETF,MSCIINDIA,29.22124126666666
Kotak,Kotak Nifty 100 Equal Weight ETF,NIFTY100EW,34.3665042
Kotak,Kotak Nifty 100 Low Volatility 30 ETF,LOWVOL1,20.96934705
Kotak,Kotak Nifty 200 Momentum 30 ETF,MOMENTUM30,29.87895240000001
Kotak,Kotak Nifty 200 Quality 30 ETF,QUALITY30,20.23
Kotak,Kotak Nifty Chemicals ETF,CHEMICAL,29.898329
Kotak,Kotak Nifty India Consumption ETF,CONS,11.97812864
Kotak,Kotak Nifty Midcap 150 ETF,MID150,22.796769342857136
Kotak,Kotak Nifty ETF,NIFTY1,262.17382240000006
Kotak,Kotak Nifty Next 50 ETF,NEXT50ETF,71.663814
Kotak,Kotak Nifty 50 Value 20 ETF,NV20,13.76505868
Kotak,Kotak Nifty PSU Bank ETF,PSUBANK,82.44321299999999
Kotak,Kotak Silver ETF,SILVER1,21.116922106743747
Kotak,Kotak BSE Sensex ETF,BSE,83.2115
Zerodha,Zerodha Nifty 50 ETF,NIFTYCASE,9.47438175
Zerodha,Zerodha Nifty Smallcap 100 ETF,SML100CASE,10.602091933333
Zerodha,Zerodha Nifty 8-13 Yr G-Sec ETF,LTGILTCASE,30.3579
Zerodha,Zerodha Silver ETF,SILVERCASE,21.9586
Zerodha,Zerodha Nifty 100 ETF,TOP100CASE,10.35963875817
Zerodha,Zerodha Nifty Midcap 150 ETF,MID150CASE,11.285997994891
Zerodha,Zerodha Gold ETF,GOLDCASE,22.2713
Zerodha,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,115.173
Mirae,MIRAE ASSET NIFTY INDIA NEW AGE CONSUMPTION ETF,CONSUMER,11.492633216667
Mirae,MIRAE ASSET BSE 200 EQUAL WEIGHT ETF,EQUAL200,13.51133555
Mirae,MIRAE ASSET BSE SELECT IPO ETF,SELECTIPO,44.9874416
Mirae,MIRAE ASSET NIFTY BANK ETF,BANKETF,571.940014
Mirae,MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF,ESG,40.66899432
Mirae,MIRAE ASSET NIFTY EV AND NEW AGE AUTOMOTIVE ETF,EVINDIA,31.389880933333
Mirae,MIRAE ASSET NIFTY INDIA INTERNET ETF,INTERNET,12.7800359
Mirae,MIRAE ASSET NIFTY IT ETF,ITETF,29.997936666667
Mirae,MIRAE ASSET NIFTY METAL ETF,METAL,12.434732266667
Mirae,MIRAE ASSET NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100 ETF,MIDSMALL,49.56865785
Mirae,MIRAE ASSET NIFTY INDIA MANUFACTURING ETF,MAKEINDIA,160.321109
Mirae,MIRAE ASSET NIFTY 200 ALPHA 30 ETF,ALPHAETF,25.37227125
Mirae,MIRAE ASSET NIFTY PSU BANK ETF,BANKPSU,83.046041
Mirae,MIRAE ASSET NIFTY500 MULTICAP 50:25:25 ETF,MULTICAP,16.240200683333
Mirae,MIRAE ASSET NIFTY50 EQUAL WEIGHT ETF,EQUAL50,326.343766
Mirae,MIRAE ASSET NIFTY 50 ETF,NIFTYETF,256.7631526
Mirae,MIRAE ASSET NIFTY MIDCAP 150 ETF,MIDCAPETF,22.9350835
Mirae,MIRAE ASSET NIFTY NEXT 50 ETF,NEXT50,734.199499
Mirae,MIRAE ASSET NIFTY SMALLCAP 250 MOMENTUM QUALITY 100-ETF,SMALLCAP,46.0416059
Mirae,MIRAE ASSET NIFTY FINANCIAL SERVICES ETF,BFSI,26.739325133333
Mirae,MIRAE ASSET BSE SENSEX ETF (FORMERLY KNOWN AS MIRAE ASSET S&P BSE SENSEX ETF),SENSEXETF,77.885413
Mirae,MIRAE ASSET NIFTY 100 LOW VOLATILITY 30 ETF,LOWVOL,204.97907666667
Mirae,MIRAE ASSET NIFTY ENERGY ETF,ENERGY,38.8724976
Mirae,MIRAE ASSET NIFTY SMALLCAP 250 ETF,SMALL250,17.44828605
Mirae,MIRAE ASSET BSE 500 DIVIDEND LEADERS 50 ETF,DIVIDEND,34.71513825
Mirae,MIRAE ASSET NIFTY TOP 20 EQUAL WEIGHT ETF,TOP20,8.6572506666667
Mirae,MIRAE ASSET NIFTY INDIA INFRASTRUCTURE & LOGISTICS ETF,INFRA,11.96348488
Mirae,MIRAE ASSET NIFTY 500 HEALTHCARE ETF,HEALTHCARE,20.892408
Mirae,MIRAE ASSET BSE INDIA DEFENCE ETF,DEFENCE,77.168587846154
Mirae,MIRAE ASSET NIFTY 500 VALUE 50 ETF,VALUE,15.82821
Mirae,MIRAE ASSET BSE MIDCAP 150 MOMENTUM 30 ETF,MOMMIDCAP,12.1999966
Mirae,MIRAE ASSET NIFTY 1D RATE LIQUID ETF-IDCW,LIQUID,1000.0
Mirae,Mirae Asset Silver ETF,SILVERAG,211.258
Mirae,MIRAE ASSET GOLD ETF,GOLDETF,137.728
Mirae,Mirae Asset Nifty 8-13 yr G-Sec ETF,GSEC10YEAR,30.3199
Mirae,Mirae Asset Nifty 1D Rate Liquid ETF Growth,LIQUIDPLUS,1096.03
Mirae,MIRAE ASSET NYSE FANG+ ETF,MAFANG,160.1893
Mirae,Mirae Asset Hang Seng TECH ETF,MAHKTECH,19.1428
Mirae,Mirae Asset S&P 500 Top 50 ETF,MASPTOP50,65.044
Union,Union Gold ETF,UNIONGOLD,140.5967
Groww,Groww Nifty Capital Markets ETF,GROWWCAPM,10.95
Groww,Groww Nifty Chemicals ETF,GROWWCHEM,29.84
Groww,Groww Nifty India Defence ETF,GROWWDEFNC,92.63
Groww,Groww Nifty EV & New Age Automotive ETF,GROWWEV,31.29
Groww,Groww Gold ETF,GROWWGOLD,13.75
Groww,Groww BSE Hospitals ETF,GROWWHOSPI,53.29
Groww,GROWW NIFTY 1D Rate Liquid ETF,GROWWLIQID,110.0726
Groww,Groww Nifty 500 Low Volatility 50 ETF,GROWWLOVOL,10.36
Groww,Groww Nifty Midcap 150 ETF,GROWWMC150,225.05
Groww,Groww Nifty Metal ETF,GROWWMETAL,11.74
Groww,Groww Nifty 500 Momentum 50 ETF,GROWWMOM50,10.44
Groww,Groww Nifty 200 ETF,GROWWN200,11.1
Groww,Groww Nifty India Internet ETF,GROWWNET,9.47
Groww,Groww Nifty 50 ETF,GROWWNIFTY,9.55
Groww,Groww Nifty Next 50 ETF,GROWWNXT50,71.47
Groww,Groww BSE Power ETF,GROWWPOWER,11.7
Groww,Groww Nifty PSE ETF,GROWWPSE,99.13
Groww,Groww Nifty PSU Bank ETF,GROWWPSUBK,82.6
Groww,Groww Nifty India Railways PSU ETF,GROWWRAIL,28.25
Groww,Groww Nifty Realty ETF,GROWWRLTY,9.77
Groww,Groww Nifty Smallcap 250 ETF,GROWWSC250,10.05
Groww,Groww Silver ETF,GROWWSLVR,21.07
Groww,Groww Nifty Private Bank ETF,PVTBKGROWW,27.15
Groww,Groww Nifty Smallcap 250 Momentum Quality 100 ETF,SMALLGROWW,46.77
ICICI,BHARAT 22 ETF,ICICIB22,114.49
ICICI,ICICI Prudential BSE 500 ETF,BSE500IETF,38.4
ICICI,ICICI Prudential BSE Midcap Select ETF,MIDSELIETF,18.8
ICICI,ICICI Prudential BSE Sensex ETF,SENSEXIETF,868.54
ICICI,ICICI Prudential Gold ETF,GOLDIETF,123.63
ICICI,ICICI Prudential Nifty 100 ETF,NIF100IETF,27.54
ICICI,ICICI Prudential Nifty 100 Low Volatility 30 ETF,LOWVOLIETF,22.0
ICICI,ICICI Prudential Nifty 200 Momentum 30 ETF,MOM30IETF,30.42
ICICI,ICICI Prudential Nifty 200 Quality 30 ETF,QUAL30IETF,20.76
ICICI,ICICI Prudential Nifty200 Value 30 ETF,VAL30IETF,15.13
ICICI,ICICI Prudential Nifty 50 ETF,NIFTYIETF,267.72
ICICI,ICICI Prudential Nifty50 Value 20 ETF,NV20IETF,13.42
ICICI,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF,ALPL30IETF,27.68
ICICI,ICICI Prudential Nifty Auto ETF,AUTOIETF,28.01
ICICI,ICICI Prudential Nifty Bank ETF,BANKIETF,57.63
ICICI,ICICI Prudential Nifty Commodities ETF,COMMOIETF,98.91
ICICI,ICICI Prudential Nifty EV & New Age Automotive ETF,EVIETF,31.35
ICICI,ICICI Prudential Nifty Financial Services Ex-Bank ETF,FINIETF,31.7
ICICI,ICICI Prudential Nifty FMCG ETF,FMCGIETF,52.57
ICICI,ICICI Prudential Nifty Healthcare ETF,HEALTHIETF,166.25
ICICI,ICICI Prudential Nifty India Consumption ETF,CONSUMIETF,120.74
ICICI,ICICI Prudential Nifty Infrastructure ETF,INFRAIETF,94.48
ICICI,ICICI Prudential Nifty IT ETF,ITIETF,31.45
ICICI,ICICI Prudential Nifty Metal ETF,METALIETF,12.39
ICICI,ICICI Prudential Nifty Midcap 150 ETF,MIDCAPIETF,23.22
ICICI,ICICI Prudential Nifty Next 50 ETF,NEXT50IETF,75.07
ICICI,ICICI Prudential Nifty Oil & Gas ETF,OILIETF,11.18
ICICI,ICICI Prudential Nifty Private Bank ETF,PVTBANIETF,27.34
ICICI,ICICI Prudential Nifty PSU Bank ETF,PSUBNKIETF,83.53
ICICI,ICICI Prudential Nifty Smallcap 250 ETF,SMALLIETF,17.42
ICICI,ICICI Prudential Nifty Top 15 Equal Weight ETF,TOP15IETF,9.64
ICICI,ICICI Prudential Silver ETF,SILVERIETF,223.88
ICICI,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,GSEC10IETF,263.5614
ICICI,ICICI Prudential BSE Liquid Rate ETF - IDCW,LIQUIDIETF,1000.0
ICICI,ICICI Prudential BSE Liquid Rate ETF - Growth,CASHIETF,1072.4697
ICICI,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,GSEC5IETF,65.971
Edelweiss,Edelweiss Nifty Bank ETF,EBANKNIFTY,56.17
Edelweiss,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,EMULTIMQ,40.1
Edelweiss,Edelweiss BSE Capital Markets & Insurance ETF,ECAPINSURE,23.4
Edelweiss,Edelweiss Nifty LargeMidcap 250 ETF,ELM250,16.06
Edelweiss,Edelweiss BSE Sensex ETF,ESENSEX,75.99
Edelweiss,Edelweiss Nifty 50 ETF,ENIFTY,23.64
Edelweiss,Edelweiss Nifty Next 50 ETF,ENEXT50,70.38
Edelweiss,BHARAT Bond ETF - April 2031,EBBETF0431,1437.2696
Edelweiss,BHARAT Bond ETF - April 2032,BBETF0432,1350.2863
Edelweiss,BHARAT Bond ETF - April 2033,EBBETF0433,1312.4684
Edelweiss,BHARAT Bond ETF - April 2030,EBBETF0430,1606.8171
Edelweiss,Edelweiss Gold ETF,EGOLD,140.02
Edelweiss,Edelweiss Silver ETF,ESILVER,215.89
ABSL,Aditya Birla Sun Life Banking ETF,ABSLBANETF,57.55
ABSL,Birla Sun Life Nifty Next 50 ETF,ABSLNN50ET,74.92
ABSL,Birla Sun Life Nifty ETF,BSLNIFTY,27.69
ABSL,Aditya Birla Sun Life Nifty Healthcare etf,HEALTHY,16.67
ABSL,Aditya Birla Sun Life Nifty IT ETF,TECH,31.0
ABSL,Birla Sun Life Sensex ETF,BSLSENETFG,76.17
ABSL,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,MOMENTUM,30.26
ABSL,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,NIFTYQLITY,20.97
ABSL,Aditya Birla Sun Life NIFTY PSE ETF,ABSLPSE,10.25
ABSL,ABSL CRISIL Broad Based Gilt ETF,ABGSEC,113.966
ABSL,Aditya Birla Sun Life Crisil 10 year Gilt ETF,GSEC10ABSL,112.352
ABSL,ABSL MSCI India ETF,ABSLMSCIN,28.92
ABSL,ABSL BSE Top 10 Banks ETF,ABSL10BANK,166.89
ABSL,Birla Sun Life Gold ETF,BSLGOLDETF,124.4
ABSL,Aditya Birla Sun Life Silver ETF,SILVER,216.0
ABSL,Aditya Birla Sun Life CRISIL Overnight Fund AI Index ETF,ABSLLIQUID,1000.0
Shriram,Shriram Nifty 1D Rate Liquid ETF,LIQUIDSHRI,1114.55
HDFC,HDFC S&P BSE 500 ETF,HDFCBSE500,36.49
HDFC,HDFC Gold Exchange Traded Fund,HDFCGOLD,122.65
HDFC,HDFC Nifty Growth Sectors 15 ETF,HDFCGROWTH,115.17
HDFC,HDFC NIFTY 1D Rate Liquid ETF,HDFCLIQUID,1070.91
HDFC,HDFC NIFTY100 Low Volatility 30 ETF,HDFCLOWVOL,20.47
HDFC,HDFC NIFTY Midcap 150 ETF,HDFCMID150,22.73
HDFC,HDFC NIFTY200 Momentum 30 ETF,HDFCMOMENT,30.15
HDFC,HDFC Nifty Next 50 ETF,HDFCNEXT50,72.73
HDFC,HDFC Nifty 100 ETF,HDFCNIF100,25.52
HDFC,HDFC Banking ETF,HDFCNIFBAN,57.78
HDFC,HDFC NIFTY IT ETF,HDFCNIFIT,30.24
