amfi_code,isin,name,category,sub_category,amc,plan,payout
120348,INF205K01LE4,Invesco India Contra Fund - Direct Plan - Growth,Equity Scheme,Contra Fund,Invesco Mutual Fund,Direct,Growth
119769,INF174K01KZ9,Kotak Contra Fund - Direct Plan - Growth,Equity Scheme,Contra Fund,Kotak Mahindra Mutual Fund,Direct,Growth
154337,INF247L01GW6,Motilal Oswal Contra Fund - Direct – Growth,Equity Scheme,Contra Fund,Motilal Oswal Mutual Fund,Direct,Growth
119835,INF200K01RA0,SBI CONTRA FUND - DIRECT PLAN - GROWTH,Equity Scheme,Contra Fund,SBI Mutual Fund,Direct,Growth
119507,INF209K01WA1,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,Equity Scheme,Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Direct,Growth
152810,INF251K01TV5,Baroda BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option,Equity Scheme,Dividend Yield Fund,Baroda BNP Paribas Mutual Fund,Direct,Growth
118527,INF090I01IT8,Franklin India Dividend Yield Fund - Direct - Growth,Equity Scheme,Dividend Yield Fund,Franklin Templeton Mutual Fund,Direct,Growth
148609,INF179KC1AO6,HDFC Dividend Yield Fund - Growth Option Direct Plan,Equity Scheme,Dividend Yield Fund,HDFC Mutual Fund,Direct,Growth
129312,INF109KA1UA0,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,Equity Scheme,Dividend Yield Fund,ICICI Prudential Mutual Fund,Direct,Growth
154097,INF174KA1YI5,Kotak Dividend Yield Fund - Direct - Growth,Equity Scheme,Dividend Yield Fund,Kotak Mahindra Mutual Fund,Direct,Growth
152022,INF397L01LC1,LIC MF Dividend Yield Fund-Direct Plan-Growth,Equity Scheme,Dividend Yield Fund,LIC Mutual Fund,Direct,Growth
151478,INF200KA14W3,SBI Dividend Yield Fund - Direct Plan - Growth,Equity Scheme,Dividend Yield Fund,SBI Mutual Fund,Direct,Growth
149700,INF173K01EV3,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund) - Direct Plan - Growth Option,Equity Scheme,Dividend Yield Fund,Sundaram Mutual Fund,Direct,Growth
148947,INF277K015Z8,Tata Dividend Yield Fund-Direct Plan-Growth,Equity Scheme,Dividend Yield Fund,Tata Mutual Fund,Direct,Growth
120749,INF789F01SW4,UTI-Dividend Yield Fund.-Growth-Direct,Equity Scheme,Dividend Yield Fund,UTI Mutual Fund,Direct,Growth
151165,INF579M01AN2,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,Equity Scheme,ELSS,360 ONE Mutual Fund,Direct,Growth
119544,INF209K01UN8,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,Equity Scheme,ELSS,Aditya Birla Sun Life Mutual Fund,Direct,Growth
120503,INF846K01EW2,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Equity Scheme,ELSS,Axis Mutual Fund,Direct,Growth
153201,INF0QA701AK0,BAJAJ FINSERV ELSS TAX SAVER FUND - DIRECT - GROWTH,Equity Scheme,ELSS,Bajaj Finserv Mutual Fund,Direct,Growth
118473,INF194K01Y29,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,Equity Scheme,ELSS,Bandhan Mutual Fund,Direct,Growth
119351,INF761K01884,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,Equity Scheme,ELSS,Bank of India Mutual Fund,Direct,Growth
150159,INF251K01HF3,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option,Equity Scheme,ELSS,Baroda BNP Paribas Mutual Fund,Direct,Growth
