BSE SYMBOL,ISIN No,Type
ANDHRAPET,INE714B01016,Equity
UTIQUE,INE096A01010,Equity
ARUNAHTEL,INE957C01019,Equity
ATVPR,INE447A01015,Equity
BHAGGAS,INE099C01010,Equity
BIHSPONG,INE819C01011,Equity
QUESTCAP,INE418C01012,Equity
FGP,INE512A01016,Equity
PHCAP,INE160F01013,Equity
GOODRICKE,INE300A01016,Equity
GTNINDS,INE537A01013,Equity
PRAGBOS,INE962B01011,Equity
INDLEASE,INE333C01013,Equity
MARGOFIN,INE680B01019,Equity
ITHL,INE262B01016,Equity
JASCH,INE711C01028,Equity
KGDENIM,INE104A01012,Equity
KINETICENG,INE266B01017,Equity
ENVAIREL,INE601C01013,Equity
KRIFILIND,INE073A01019,Equity
BARODARY,INE461A01024,Equity
MIDINDIA,INE401C01018,Equity
SPICEJET,INE285B01017,Equity
NAPEROL,INE585A01020,Equity
INDSUCR,INE557C01017,Equity
PANCM,INE167E01037,Equity
PUNJCOMMU,INE609A01010,Equity
RAMAPPR-B,INE425E01013,Equity
RAPICUT,INE350D01015,Equity
SALORAINTL,INE924A01013,Equity
SAMTELIN,INE538C01017,Equity
SKPMIL,INE970C01012,Equity
TPINDIA,INE578C01021,Equity
TRANSCHEM,INE019B01010,Equity
UTLINDS,INE184E01024,Equity
HOCL,INE048A01011,Equity
MPILCORPL,INE844C01027,Equity
TEAM24,INE601A01017,Equity
HINDMOTORS,INE253A01025,Equity
SUNRINV,INE371U01015,Equity
ZGOLDINV,INE598F01014,Equity
DSINVEST,INE422D01012,Equity
KARTKIN,INE524U01019,Equity
LORDSMARK,INE567L01025,Equity
ANTARIKSH,INE825M01017,Equity
JAYBHCR,INE998D01011,Equity
PRISMX,INE286N01028,Equity
RAPIDIN,INE154M01012,Equity
WALCHPF,INE695D01021,Equity
EENTER,INE094R01019,Equity
WHBRADY,INE855A01019,Equity
BOMBCYC,INE691K01017,Equity
MULLER,INE003F01015,Equity
SFTL,INE02ZA01012,Equity
AMALGAM,INE492N01022,Equity
ANANDPROJ,INE134R01013,Equity
INDIANVSH,INE131H01028,Equity
CHOWGULSTM,INE490A01015,Equity
GARWAOFFS,INE446C01013,Equity
DHENUBUILD,INE758D01027,Equity
ASIIL,INE443A01030,Equity
LERTHAI,INE347D01011,Equity
TRIVENIGQ,INE094C01011,Equity
NILACHAL,INE416N01013,Equity
CITADEL,INE906D01014,Equity
NATHIND,INE777A01023,Equity
VAPIENTER,INE464D01014,Equity
ZGAEKWAR,INE837X01027,Equity
FORBESCO,INE518A01013,Equity
HPCOTTON,INE950C01014,Equity
UNITEDINT,INE706D01018,Equity
JAMSHRI,INE462D01034,Equity
KATRSPG,INE498G01015,Equity
LAKSHMIMIL,INE938C01019,Equity
PASUSPG,INE909B01020,Equity
RAJABAH,INE491N01016,Equity
SIMPLXREA,INE167H01014,Equity
VICTMILL,INE203D01016,Equity
